id,website,review
1,https://blog.example.net/2026/09/Post-Title,no
2,https://acme-widgets.example/Catalog,no
3,https://example.com:443,no
4,,no
5,https://example.com,no
6,-,no
7,https://www.example.org/About,no
8,https://example.com/Docs/Guide,no
9,http://example.org/Search?Q=Red%20Shoes,no
10,https://www.example.org/About,no
11,https://shop.example.com/Products/Blue-Widget,no
12,http://example.com:8080/Admin,no
13,https://example.com,no
14,https://example.com/path?Ref=ABC#Top,no
15,http://www.example.net/INDEX.HTML,no
16,https://-example.com,yes
17,https://example.com:8443/Portal,no
18,n/a,no
19,http://192.0.2.10/Status,yes
20,https://example.com/docs#Intro,no
21,"www.example.com, www.example.org",yes
22,http://example.com:80/Store,no
23,see our facebook page,yes
24,https://example.org:443/Blog,no
25,http://example.org:443/Legacy,no
26,https://example.com,no
27,https://example.com?q=Widgets,no
28,https://example..com,yes
29,https://exa mple.com,yes
30,https://example.com,no
31,https://example.net,no
32,https://example.com/About-Us,no
