le-ci-export_e0fcccf	/home/username/.le-ci-export/e0fcccf	1397	0
le-codex-build_ci-midflight-20260923T140815	/home/username/.le-codex-build/ci-midflight-20260923T140815	8541	0
le-codex-build_ci-release311-20260923T143500	/home/username/.le-codex-build/ci-release311-20260923T143500	7285	0
le-codex-build_integration	/home/username/.le-codex-build/integration	33500	335
le-codex-build_native-factory	/home/username/.le-codex-build/native-factory	1903851	0
le-codex-build_native-generation	/home/username/.le-codex-build/native-generation	17766	47
le-codex-build_release-fix	/home/username/.le-codex-build/release-fix	17431	8
le-codex-build_review-adjudication	/home/username/.le-codex-build/review-adjudication	0	10
le-codex-build_review-integrity	/home/username/.le-codex-build/review-integrity	343818	21
le-codex-review-20260923	/home/username/.le-codex-review-20260923	82463	278
le-consolidation_g3-intelligence	/home/username/.le-consolidation/g3-intelligence	80099	0
le-engines_x1	/home/username/.le-engines/x1	33190	0
le-integration_restore-d18-catalogue-pay	/home/username/.le-integration/restore-d18-catalogue-pay	435647	71
le-integration_restore-d18-ci-audit-names	/home/username/.le-integration/restore-d18-ci-audit-names	62109	0
le-integration_restore-d18-occupation	/home/username/.le-integration/restore-d18-occupation	142330	1
le-integration_restore-d18-overnight	/home/username/.le-integration/restore-d18-overnight	58782	1
le-wave2_mcp-revision	/home/username/.le-wave2/mcp-revision	0	23548
loop-engine	/home/username/loop-engine	98014	180
loop-engine_.claude_worktrees_wf_059b60f1-136-4	/home/username/loop-engine/.claude/worktrees/wf_059b60f1-136-4	3409	4
loop-engine_.claude_worktrees_wf_163570aa-59d-7	/home/username/loop-engine/.claude/worktrees/wf_163570aa-59d-7	67656	6
loop-engine_.claude_worktrees_wf_17b40c64-552-1	/home/username/loop-engine/.claude/worktrees/wf_17b40c64-552-1	894135	0
loop-engine_.claude_worktrees_wf_2c5a17d0-bee-4	/home/username/loop-engine/.claude/worktrees/wf_2c5a17d0-bee-4	623204	0
loop-engine_.claude_worktrees_wf_582812c1-fbf-2	/home/username/loop-engine/.claude/worktrees/wf_582812c1-fbf-2	519	0
loop-engine_.claude_worktrees_wf_90f15b07-bb7-1	/home/username/loop-engine/.claude/worktrees/wf_90f15b07-bb7-1	76290	0
loop-engine_.claude_worktrees_wf_90f15b07-bb7-2	/home/username/loop-engine/.claude/worktrees/wf_90f15b07-bb7-2	1152	0
loop-engine_.claude_worktrees_wf_a4d66b9e-235-1	/home/username/loop-engine/.claude/worktrees/wf_a4d66b9e-235-1	64187	6
loop-engine_.claude_worktrees_wf_a9500b52-cd6-1	/home/username/loop-engine/.claude/worktrees/wf_a9500b52-cd6-1	3429	0
loop-engine_.claude_worktrees_wf_ac2dc435-f2e-16	/home/username/loop-engine/.claude/worktrees/wf_ac2dc435-f2e-16	3971	0
loop-engine_.claude_worktrees_wf_ac2dc435-f2e-18	/home/username/loop-engine/.claude/worktrees/wf_ac2dc435-f2e-18	78584719	1
loop-engine_.claude_worktrees_wf_bce6c2d4-baf-1	/home/username/loop-engine/.claude/worktrees/wf_bce6c2d4-baf-1	102804	0
loop-engine_.claude_worktrees_wf_bce6c2d4-baf-3	/home/username/loop-engine/.claude/worktrees/wf_bce6c2d4-baf-3	9812	0
loop-engine_.claude_worktrees_wf_cb91ffac-592-1	/home/username/loop-engine/.claude/worktrees/wf_cb91ffac-592-1	8522	5
loop-engine_.claude_worktrees_wf_cb91ffac-592-2	/home/username/loop-engine/.claude/worktrees/wf_cb91ffac-592-2	14350	5
loop-engine_.claude_worktrees_wf_eb5e10dc-951-1	/home/username/loop-engine/.claude/worktrees/wf_eb5e10dc-951-1	24560	4
loop-engine_.claude_worktrees_wf_eb5e10dc-951-2	/home/username/loop-engine/.claude/worktrees/wf_eb5e10dc-951-2	0	1
loop-engine_.loop-engine-dev_fabric-readiness-20260913-N8fyhI_compact-snapshot	/home/username/loop-engine/.loop-engine-dev/fabric-readiness-20260913-N8fyhI/compact-snapshot	93981	5
loop-engine_.loop-engine-dev_fabric-readiness-20260913-N8fyhI_runtime-snapshot	/home/username/loop-engine/.loop-engine-dev/fabric-readiness-20260913-N8fyhI/runtime-snapshot	81347	4
loop-engine_.loop-engine-dev_fabric-release-20260914-V6F5I6_source	/home/username/loop-engine/.loop-engine-dev/fabric-release-20260914-V6F5I6/source	121534	9
loop-engine_.loop-engine-dev_ollama-review-preparation-20260913-OFLZBE_latest-snapshot	/home/username/loop-engine/.loop-engine-dev/ollama-review-preparation-20260913-OFLZBE/latest-snapshot	53536	3
loop-engine_.loop-engine-dev_ollama-review-preparation-20260913-OFLZBE_source-snapshot	/home/username/loop-engine/.loop-engine-dev/ollama-review-preparation-20260913-OFLZBE/source-snapshot	53536	3
